iter	Passed	Remaining
0	421	421459
1	454	227038
2	490	162995
3	525	130793
4	560	111490
5	592	98133
6	624	88645
7	658	81592
8	689	75934
9	727	72039
10	835	75089
11	926	76293
12	969	73578
13	1001	70524
14	1033	67836
15	1064	65474
16	1096	63401
17	1131	61735
18	1167	60292
19	1202	58903
20	1236	57639
21	1270	56501
22	1304	55432
23	1337	54380
24	1369	53414
25	1401	52499
26	1433	51673
27	1467	50938
28	1498	50184
29	1531	49520
30	1564	48894
31	1596	48296
32	1629	47740
33	1661	47194
34	1692	46664
35	1724	46189
36	1756	45714
37	1788	45269
38	1820	44855
39	1851	44445
40	1883	44048
41	1915	43696
42	1953	43469
43	2056	44689
44	2113	44848
45	2145	44490
46	2176	44139
47	2208	43808
48	2240	43484
49	2273	43189
50	2305	42901
51	2336	42604
52	2369	42338
53	2402	42081
54	2434	41835
55	2467	41590
56	2498	41327
57	2529	41080
58	2561	40847
59	2592	40617
60	2624	40401
61	2656	40186
62	2687	39977
63	2719	39779
64	2751	39582
65	2783	39392
66	2814	39195
67	2845	39006
68	2877	38819
69	2908	38637
70	2940	38474
71	2972	38309
72	3003	38145
73	3035	37980
74	3065	37812
75	3098	37676
76	3130	37522
77	3162	37385
78	3199	37305
79	3307	38041
80	3403	38618
81	3445	38570
82	3476	38411
83	3508	38258
84	3540	38109
85	3577	38022
86	3609	37877
87	3641	37738
88	3674	37614
89	3708	37492
90	3740	37368
91	3775	37265
92	3809	37153
93	3844	37050
94	3882	36986
95	3917	36890
96	3952	36799
97	3987	36698
98	4020	36592
99	4055	36500
100	4095	36456
101	4131	36375
102	4169	36312
103	4201	36196
104	4237	36118
105	4271	36023
106	4302	35909
107	4335	35806
108	4367	35700
109	4397	35581
110	4435	35524
111	4535	35961
112	4621	36278
113	4663	36241
114	4694	36131
115	4726	36018
116	4757	35908
117	4789	35799
118	4829	35756
119	4868	35700
120	4900	35597
121	4931	35491
122	4964	35396
123	4995	35292
124	5027	35193
125	5061	35106
126	5092	35003
127	5124	34913
128	5158	34828
129	5191	34740
130	5222	34645
131	5254	34552
132	5286	34459
133	5317	34367
134	5349	34277
135	5380	34183
136	5413	34098
137	5445	34012
138	5477	33926
139	5508	33837
140	5539	33748
141	5570	33660
142	5603	33581
143	5634	33495
144	5671	33444
145	5703	33362
146	5735	33282
147	5768	33206
148	5800	33128
149	5832	33049
150	5864	32974
151	5896	32896
152	5928	32818
153	5969	32792
154	6003	32729
155	6038	32668
156	6074	32615
157	6106	32543
158	6137	32464
159	6169	32388
160	6202	32321
161	6233	32244
162	6265	32173
163	6298	32106
164	6330	32034
165	6361	31962
166	6393	31890
167	6424	31817
168	6456	31748
169	6489	31684
170	6521	31614
171	6552	31543
172	6583	31473
173	6616	31409
174	6648	31341
175	6680	31278
176	6714	31220
177	6747	31161
178	6782	31106
179	6815	31049
180	6848	30987
181	6882	30931
182	6915	30874
183	6949	30820
184	6983	30767
185	7017	30710
186	7056	30676
187	7189	31053
188	7351	31545
189	7409	31585
190	7443	31527
191	7476	31462
192	7515	31425
193	7549	31363
194	7582	31300
195	7617	31245
196	7654	31200
197	7688	31140
198	7723	31088
199	7757	31030
200	7795	30986
201	7827	30923
202	7860	30862
203	7895	30808
204	7932	30761
205	7965	30700
206	8004	30665
207	8037	30606
208	8071	30548
209	8104	30489
210	8138	30434
211	8172	30377
212	8205	30316
213	8237	30253
214	8268	30189
215	8306	30148
216	8405	30330
217	8498	30486
218	8546	30478
219	8578	30413
220	8611	30353
221	8646	30302
222	8679	30242
223	8713	30185
224	8747	30128
225	8780	30071
226	8815	30018
227	8852	29973
228	8885	29917
229	8920	29863
230	8955	29812
231	8987	29750
232	9021	29698
233	9055	29642
234	9087	29583
235	9119	29521
236	9152	29465
237	9187	29414
